"site","year","species","d10","d20","d30","d40","d50"
"BLOCDAVMD1",2012,"noca",1,1,0,0,0
"BLOCDAVMD1",2012,"tuti",0,0,1,0,0
"BLOCDAVMD1",2012,"woth",0,0,0,0,1
"BOONGREMD1",2010,"amgo",0,0,1,0,0
"BOONGREMD1",2010,"amro",0,0,0,0,1
"BOONGREMD1",2010,"bhco",0,0,1,0,0
"BOONGREMD1",2010,"grca",4,0,0,0,0
"BOONGREMD1",2010,"noca",2,0,0,0,0
"BOONGREMD1",2010,"sosp",0,1,0,1,1
"BOONGREMD1",2010,"tuti",1,0,0,0,0
"BOONGREMD1",2012,"amro",1,0,1,0,1
"BOONGREMD1",2012,"bhco",0,0,0,2,0
"BOONGREMD1",2012,"cach",0,1,0,2,0
"BOONGREMD1",2012,"cogr",0,0,0,1,0
"BOONGREMD1",2012,"grca",0,0,2,1,0
"BOONGREMD1",2012,"hofi",1,1,1,0,0
"BOONGREMD1",2012,"howr",0,1,0,0,0
"BOONGREMD1",2012,"sosp",0,0,0,0,1
"BOONGREMD1",2012,"tuti",0,1,0,0,0
"BRENSTEMD1",2009,"amro",0,1,1,0,1
"BRENSTEMD1",2009,"cach",0,1,1,0,0
"BRENSTEMD1",2009,"grca",1,1,0,0,1
"BRENSTEMD1",2009,"hofi",0,0,0,0,1
"BRENSTEMD1",2009,"noca",0,0,1,1,0
"BRENSTEMD1",2009,"rbwo",0,0,0,0,1
"BRENSTEMD1",2009,"sosp",0,0,0,0,1
"BRENSTEMD1",2009,"tuti",0,0,1,0,0
"BRENSTEMD1",2010,"amro",0,0,0,0,1
"BRENSTEMD1",2010,"chsp",0,0,1,0,0
"BRENSTEMD1",2010,"dowo",0,0,0,1,0
"BRENSTEMD1",2010,"tuti",0,0,0,1,2
"BRENSTEMD1",2012,"blja",0,0,0,1,0
"BRENSTEMD1",2012,"cach",1,1,0,0,0
"BRENSTEMD1",2012,"carw",0,0,1,0,0
"BRENSTEMD1",2012,"grca",0,1,0,0,0
"BRENSTEMD1",2012,"modo",0,0,0,2,0
"BRENSTEMD1",2012,"noca",4,0,0,0,1
"BRIGKIMMD1",2009,"amcr",0,0,0,1,0
"BRIGKIMMD1",2009,"amro",0,1,0,0,0
"BRIGKIMMD1",2009,"cogr",3,0,0,0,0
"BRIGKIMMD1",2009,"grca",4,0,1,0,0
"BRIGKIMMD1",2009,"modo",0,0,1,0,0
"BRIGKIMMD1",2009,"noca",1,1,1,0,0
"BRIGKIMMD1",2012,"amgo",1,0,0,0,0
"BRIGKIMMD1",2012,"amro",0,0,1,1,0
"BRIGKIMMD1",2012,"blja",0,3,0,0,0
"BRIGKIMMD1",2012,"cogr",0,0,4,0,0
"BRIGKIMMD1",2012,"noca",0,1,0,0,0
"BROWANNDC1",2009,"amro",0,2,0,1,0
"BROWANNDC1",2009,"grca",0,0,1,0,0
"BROWANNDC1",2009,"noca",0,0,1,1,0
"BROWANNDC1",2009,"sosp",0,1,0,0,0
"BROWANNDC1",2010,"amro",0,0,1,1,0
"BROWANNDC1",2010,"cogr",0,0,2,0,0
"BROWANNDC1",2010,"grca",0,0,0,1,0
"BROWANNDC1",2010,"nomo",0,0,0,0,1
"BROWANNDC1",2010,"sosp",0,0,0,0,1
"BROWANNMD1",2009,"amcr",0,0,0,0,1
"BROWANNMD1",2009,"amgo",0,3,0,0,1
"BROWANNMD1",2009,"amro",1,2,2,1,0
"BROWANNMD1",2009,"cach",0,0,1,0,0
"BROWANNMD1",2009,"cogr",1,0,0,0,0
"BROWANNMD1",2009,"grca",1,0,0,0,1
"BROWANNMD1",2009,"noca",3,3,1,0,0
"BROWANNMD1",2009,"rbwo",0,1,0,0,0
"BROWANNMD1",2009,"sosp",0,0,0,2,1
"BROWANNMD1",2010,"cach",0,1,0,0,0
"BROWANNMD1",2010,"howr",0,0,0,2,1
"BROWANNMD1",2010,"noca",0,0,3,0,0
"BROWANNMD1",2012,"amro",0,0,0,2,0
"BROWANNMD1",2012,"blja",0,0,0,1,0
"BROWANNMD1",2012,"cogr",0,0,0,1,0
"BROWANNMD1",2012,"sosp",0,0,0,1,0
"BUISNORVA1",2009,"amgo",1,0,0,0,0
"BUISNORVA1",2009,"amro",3,0,0,0,0
"BUISNORVA1",2009,"cach",2,0,0,0,0
"BUISNORVA1",2009,"carw",2,0,0,0,0
"BUISNORVA1",2009,"grca",2,3,0,0,0
"BUISNORVA1",2009,"howr",1,0,0,0,0
"BUISNORVA1",2009,"modo",0,1,0,0,0
"BUISNORVA1",2009,"noca",2,1,0,0,0
"BUISNORVA1",2009,"rbwo",0,1,0,0,0
"BUISNORVA1",2009,"sosp",1,0,0,0,0
"BUISNORVA1",2009,"tuti",1,0,0,0,0
"BUISNORVA1",2009,"wbnu",0,1,0,0,0
"BUISNORVA1",2010,"amro",0,0,0,1,0
"BUISNORVA1",2010,"blja",0,0,1,0,0
"BUISNORVA1",2010,"cach",0,0,1,0,1
"BUISNORVA1",2010,"dowo",0,0,0,1,0
"BUISNORVA1",2010,"grca",0,1,0,0,0
"BUISNORVA1",2010,"noca",0,0,2,1,0
"BUISNORVA1",2010,"rbwo",0,0,0,1,1
"BUISNORVA1",2010,"rwbl",0,0,0,0,2
"BUISNORVA1",2010,"tuti",1,0,0,0,0
"BUISNORVA1",2010,"wbnu",0,0,0,0,1
"BUISNORVA1",2012,"amro",0,1,0,0,0
"BUISNORVA1",2012,"gcfl",0,0,1,0,0
"BUISNORVA1",2012,"grca",0,0,1,0,0
"BUISNORVA1",2012,"noca",0,0,1,0,1
"BUISNORVA1",2012,"rbwo",0,0,1,1,0
"BUISNORVA1",2012,"rwbl",0,0,0,0,1
"BUISNORVA1",2012,"sosp",0,0,2,0,0
"BUISNORVA1",2012,"tuti",0,0,0,1,0
"BURDROBVA1",2009,"amcr",0,0,0,1,0
"BURDROBVA1",2009,"amro",0,0,1,0,0
"BURDROBVA1",2009,"blja",0,0,0,1,0
"BURDROBVA1",2009,"cach",0,2,0,0,0
"BURDROBVA1",2009,"carw",0,0,0,1,1
"BURDROBVA1",2009,"dowo",0,2,0,0,0
"BURDROBVA1",2009,"eabl",1,0,0,0,0
"BURDROBVA1",2009,"hofi",0,0,0,0,1
"BURDROBVA1",2009,"noca",0,1,1,1,1
"BURDROBVA1",2009,"nomo",0,0,0,0,1
"BURDROBVA1",2009,"rbwo",0,0,0,1,0
"BURDROBVA1",2009,"sosp",0,0,0,0,1
"BURDROBVA1",2009,"tuti",0,2,0,0,0
"BURDROBVA1",2009,"wbnu",0,1,0,0,0
"BURDROBVA1",2010,"amro",1,0,0,1,0
"BURDROBVA1",2010,"blja",1,0,0,0,0
"BURDROBVA1",2010,"cach",0,0,1,0,0
"BURDROBVA1",2010,"carw",0,1,0,0,0
"BURDROBVA1",2010,"cogr",0,1,0,0,0
"BURDROBVA1",2010,"dowo",0,0,0,1,0
"BURDROBVA1",2010,"eaph",0,0,1,0,0
"BURDROBVA1",2010,"modo",0,0,1,0,0
"BURDROBVA1",2010,"noca",0,0,1,0,1
"BURDROBVA1",2010,"rbwo",0,0,0,0,1
"BURDROBVA1",2010,"wbnu",0,0,1,0,0
"BURDROBVA1",2012,"amro",1,1,0,1,0
"BURDROBVA1",2012,"cach",0,0,0,1,0
"BURDROBVA1",2012,"carw",0,1,0,1,0
"BURDROBVA1",2012,"cogr",0,0,1,0,0
"BURDROBVA1",2012,"eabl",1,0,0,0,0
"BURDROBVA1",2012,"hofi",2,0,0,0,0
"BURDROBVA1",2012,"howr",0,0,1,0,0
"BURDROBVA1",2012,"modo",1,0,0,0,0
"BURDROBVA1",2012,"noca",0,0,0,1,1
"BURDROBVA1",2012,"rbwo",0,0,1,0,0
"BURDROBVA1",2012,"sosp",0,1,0,0,0
"BURDROBVA1",2012,"tuti",0,0,0,2,0
"BURDROBVA1",2012,"wbnu",0,0,1,0,0
"BURNNANMD1",2009,"blja",0,0,0,0,1
"BURNNANMD1",2009,"cach",0,1,1,0,0
"BURNNANMD1",2009,"carw",0,0,1,0,0
"BURNNANMD1",2009,"cogr",0,6,1,0,0
"BURNNANMD1",2009,"eabl",0,1,0,0,0
"BURNNANMD1",2009,"ficr",0,0,0,0,1
"BURNNANMD1",2009,"hofi",0,3,0,0,0
"BURNNANMD1",2009,"howr",0,0,3,0,0
"BURNNANMD1",2009,"noca",0,2,0,0,0
"BURNNANMD1",2009,"nomo",0,0,0,1,0
"BURNNANMD1",2009,"tuti",0,0,1,0,0
"BURNNANMD1",2010,"amcr",0,0,0,0,3
"BURNNANMD1",2010,"amro",0,2,0,0,1
"BURNNANMD1",2010,"blja",0,0,0,0,1
"BURNNANMD1",2010,"cach",0,0,1,0,0
"BURNNANMD1",2010,"eabl",0,0,1,0,0
"BURNNANMD1",2010,"howr",0,1,1,0,0
"BURNNANMD1",2010,"noca",0,1,1,1,0
"BURNNANMD1",2010,"nomo",0,0,0,0,1
"BURNNANMD1",2010,"rbwo",0,0,0,1,0
"BURNNANMD1",2012,"bars",0,0,2,0,0
"BURNNANMD1",2012,"blja",0,3,0,0,0
"BURNNANMD1",2012,"cach",0,2,0,0,0
"BURNNANMD1",2012,"eabl",0,1,0,1,0
"BURNNANMD1",2012,"gcfl",0,1,0,0,0
"BURNNANMD1",2012,"grca",0,1,0,0,0
"BURNNANMD1",2012,"howr",0,1,0,0,1
"BURNNANMD1",2012,"modo",0,1,0,0,0
"BURNNANMD1",2012,"noca",0,0,1,1,0
"BURNNANMD1",2012,"nomo",0,1,0,0,0
"BURNNANMD1",2012,"tuti",0,0,1,0,0
"CAMPGLOMD1",2010,"amro",0,0,0,0,3
"CAMPGLOMD1",2010,"bhco",0,0,1,0,0
"CAMPGLOMD1",2010,"cedw",0,0,0,2,0
"CAMPGLOMD1",2010,"cogr",2,1,0,0,0
"CAMPGLOMD1",2010,"howr",0,0,1,0,0
"CAMPGLOMD1",2010,"noca",0,1,1,0,0
"CAMPGLOMD1",2010,"rwbl",0,0,0,0,1
"CAMPGLOMD1",2010,"sosp",0,1,0,0,0
"CAMPGLOMD1",2012,"amgo",0,2,0,0,0
"CAMPGLOMD1",2012,"amro",0,2,0,0,0
"CAMPGLOMD1",2012,"cach",0,0,0,1,0
"CAMPGLOMD1",2012,"cogr",0,0,1,0,0
"CAMPGLOMD1",2012,"grca",0,1,1,0,0
"CAMPGLOMD1",2012,"modo",1,0,0,0,0
"CAMPGLOMD1",2012,"noca",2,0,0,0,1
"CAMPGLOMD1",2012,"rwbl",0,0,0,2,0
"CAMPGLOMD1",2012,"tuti",0,0,1,0,1
"CAMPLIBMD1",2009,"amro",0,3,0,0,0
"CAMPLIBMD1",2009,"blja",1,1,0,0,0
"CAMPLIBMD1",2009,"cach",0,1,0,0,0
"CAMPLIBMD1",2009,"carw",4,1,0,0,0
"CAMPLIBMD1",2009,"noca",0,4,3,0,0
"CAMPLIBMD1",2009,"sosp",0,2,0,0,0
"CAMPLIBMD1",2009,"tuti",0,0,1,0,0
"CAMPLIBMD1",2009,"wbnu",1,0,0,0,0
"CAMPLIBMD1",2010,"cach",0,1,0,0,0
"CAMPLIBMD1",2010,"noca",0,0,2,0,0
"CAMPLIBMD1",2010,"tuti",0,3,1,0,0
"CAMPLIBMD1",2012,"cach",0,0,2,0,0
"CAMPLIBMD1",2012,"eabl",0,0,0,1,0
"CAMPLIBMD1",2012,"noca",0,1,1,0,2
"CAMPLIBMD1",2012,"rbwo",0,0,0,1,0
"CAMPLIBMD1",2012,"tuti",0,0,1,0,0
"CAMPROSMD1",2009,"amro",0,1,3,2,2
"CAMPROSMD1",2009,"cach",0,0,0,1,0
"CAMPROSMD1",2009,"carw",0,1,0,0,0
"CAMPROSMD1",2009,"grca",0,2,2,1,0
"CAMPROSMD1",2009,"howr",0,0,0,0,1
"CAMPROSMD1",2009,"noca",0,2,0,0,0
"CAMPROSMD1",2009,"rbwo",0,0,0,1,0
"CAMPROSMD1",2009,"wbnu",0,0,1,0,0
"CAMPROSMD1",2012,"blja",0,0,0,1,0
"CAMPROSMD1",2012,"carw",1,1,1,0,0
"CAMPROSMD1",2012,"grca",0,1,0,1,0
"CAMPROSMD1",2012,"noca",0,3,1,1,0
"CAMPROSMD1",2012,"tuti",0,2,0,1,0
"CANTBOBMD1",2009,"amcr",0,0,1,0,0
"CANTBOBMD1",2009,"blja",0,1,3,0,0
"CANTBOBMD1",2009,"cach",0,1,1,0,0
"CANTBOBMD1",2009,"carw",0,3,0,0,0
"CANTBOBMD1",2009,"grca",4,4,0,0,0
"CANTBOBMD1",2009,"howr",2,0,0,0,0
"CANTBOBMD1",2009,"noca",0,5,0,0,0
"CANTBOBMD1",2009,"sosp",0,4,0,0,0
"CARLSHIMD1",2009,"amro",2,2,0,0,0
"CARLSHIMD1",2009,"blja",1,1,0,0,0
"CARLSHIMD1",2009,"carw",0,0,1,0,0
"CARLSHIMD1",2009,"grca",1,1,1,0,0
"CARLSHIMD1",2009,"howr",1,0,0,0,0
"CARLSHIMD1",2010,"amro",1,1,0,0,0
"CARLSHIMD1",2010,"cach",2,0,0,1,0
"CARLSHIMD1",2010,"dowo",0,0,1,0,0
"CARLSHIMD1",2010,"grca",0,1,0,0,0
"CARLSHIMD1",2010,"howr",2,0,0,0,0
"CARLSHIMD1",2010,"noca",0,1,0,0,0
"CARLSHIMD1",2010,"tuti",0,0,0,1,0
"CARLSHIMD1",2012,"amro",0,1,1,0,1
"CARLSHIMD1",2012,"grca",0,0,4,2,0
"CARLSHIMD1",2012,"howr",0,1,1,0,0
"CAUSSUSMD1",2009,"amro",0,0,1,0,0
"CAUSSUSMD1",2009,"cach",1,1,0,0,0
"CAUSSUSMD1",2009,"chsp",1,0,0,0,0
"CAUSSUSMD1",2009,"grca",0,2,0,0,0
"CAUSSUSMD1",2009,"howr",1,1,0,1,0
"CAUSSUSMD1",2009,"noca",1,0,0,0,0
"CAUSSUSMD1",2012,"amcr",0,0,0,0,1
"CAUSSUSMD1",2012,"amro",0,0,1,0,0
"CAUSSUSMD1",2012,"bhco",0,1,0,0,0
"CAUSSUSMD1",2012,"cach",0,1,1,0,0
"CAUSSUSMD1",2012,"carw",0,0,1,0,0
"CAUSSUSMD1",2012,"chsw",0,2,0,1,0
"CAUSSUSMD1",2012,"dowo",0,1,0,0,0
"CAUSSUSMD1",2012,"ficr",0,1,0,1,0
"CAUSSUSMD1",2012,"modo",1,0,0,0,0
"CAUSSUSMD1",2012,"noca",3,0,0,0,0
"CAUSSUSMD1",2012,"rbwo",1,0,0,0,0
"CAUSSUSMD1",2012,"tuti",3,3,0,0,0
"CLARCOLDC1",2010,"amro",0,1,1,0,0
"CLARCOLDC1",2010,"hofi",0,0,0,3,0
"CLARCOLDC1",2010,"noca",0,1,1,0,0
"CLARKELMD1",2009,"amro",1,5,0,2,0
"CLARKELMD1",2009,"cogr",0,4,0,0,0
"CLARKELMD1",2009,"hofi",0,3,0,0,0
"CLARKELMD1",2009,"noca",0,0,0,0,0
"CLARKELMD1",2009,"nomo",0,1,0,0,0
"CLARKELMD1",2009,"oror",0,1,0,0,0
"COLALISMD1",2010,"cach",0,0,0,0,2
"COLALISMD1",2010,"eabl",0,0,1,0,0
"COLALISMD1",2010,"grca",0,0,0,0,1
"COLALISMD1",2010,"howr",0,0,1,1,0
"COLALISMD1",2010,"nomo",0,0,1,0,0
"COLALISMD1",2010,"sosp",0,0,0,0,1
"COLALISMD1",2012,"amcr",0,0,0,0,5
"COLALISMD1",2012,"carw",0,0,0,1,0
"COLALISMD1",2012,"eabl",0,0,0,1,0
"COLALISMD1",2012,"eaki",0,0,1,0,0
"COLALISMD1",2012,"inbu",0,0,0,1,1
"COLALISMD1",2012,"noca",0,1,0,0,1
"COLALISMD1",2012,"rsha",0,0,0,0,1
"COLALISMD1",2012,"tuti",0,0,1,0,0
"COLALISMD1",2012,"ysfl",0,0,0,0,1
"COLSKATMD1",2009,"amgo",0,0,1,0,0
"COLSKATMD1",2009,"amro",0,0,1,0,0
"COLSKATMD1",2009,"bhco",0,1,0,0,0
"COLSKATMD1",2009,"cach",2,0,0,0,0
"COLSKATMD1",2009,"carw",0,0,1,0,0
"COLSKATMD1",2009,"grca",0,0,1,0,0
"COLSKATMD1",2009,"hofi",1,0,0,0,0
"COLSKATMD1",2009,"howr",1,0,1,0,0
"COLSKATMD1",2009,"noca",3,2,2,0,0
"COLSKATMD1",2009,"sosp",0,0,1,0,0
"COLSKATMD1",2009,"tuti",1,0,0,0,0
"COLSKATMD1",2010,"amgo",0,2,0,0,0
"COLSKATMD1",2010,"amro",0,0,0,0,1
